funding_time,product_id,funding_rate,index_price,settlement_price,mid,price,open_interest,volume_24h,fetched_at
2026-09-04T23:00:00Z,NER-20DEC30-CDE,5e-06,2.133642,1.9821,2.1349,2.1328,1157,10163,2026-09-04T23:04:30Z
2026-09-04T23:00:00Z,OND-20DEC30-CDE,-2e-06,0.354795,0.3676,0.35495,0.3561,4919,9644,2026-09-04T23:04:30Z
2026-09-04T23:00:00Z,PAU-20DEC30-CDE,1e-06,4433.830792,4475.7,4434,4436.8,1192,2091,2026-09-04T23:04:30Z
2026-09-04T23:00:00Z,PEP-20DEC30-CDE,-6e-06,0.00351,0.00381,0.0035135,0.003511,665,4282,2026-09-04T23:04:30Z
2026-09-04T23:00:00Z,POP-20DEC30-CDE,-5e-06,0.868407,0.896,0.8685,0.872,4401,4356,2026-09-04T23:04:30Z
2026-09-04T23:00:00Z,SHP-20DEC30-CDE,2.1e-05,0.005211,0.00544,0.005215,0.00522,3411,3944,2026-09-04T23:04:30Z
2026-09-04T23:00:00Z,SLP-20DEC30-CDE,-1e-05,101.734251,105.24,101.755,101.71,35533,58450,2026-09-04T23:04:30Z
2026-09-04T23:00:00Z,SUP-20DEC30-CDE,1e-05,0.751743,0.7897,0.75235,0.7513,4888,16531,2026-09-04T23:04:30Z
2026-09-04T23:00:00Z,XLP-20DEC30-CDE,1e-06,0.178905,0.18797,0.17907,0.17889,3777,6925,2026-09-04T23:04:30Z
2026-09-04T23:00:00Z,XPP-20DEC30-CDE,-9e-06,1.395531,1.4734,1.39565,1.3951,45857,122132,2026-09-04T23:04:30Z
2026-09-04T23:00:00Z,ZEC-20DEC30-CDE,1.6e-05,1026.855473,970,1026.9,1027.35,8729,72341,2026-09-04T23:04:30Z
2026-09-05T00:00:00Z,ADP-20DEC30-CDE,-6e-06,0.210983,0.2136,0.21075,0.211,9681,36297,2026-09-05T00:14:01Z
2026-09-05T00:00:00Z,AVE-20DEC30-CDE,-4e-06,130.848327,130.56,130.86,130.3,982,3305,2026-09-05T00:14:01Z
2026-09-05T00:00:00Z,AVP-20DEC30-CDE,-3.7e-05,7.390193,7.38,7.385,7.39,7699,6651,2026-09-05T00:14:01Z
2026-09-05T00:00:00Z,BCP-20DEC30-CDE,8e-06,246.687415,253.2,246.45,246.65,1657,37760,2026-09-05T00:14:01Z
